delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,delay_hours,status_label,delivery_date
250,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,8,8,no,delivered,3,1632.7206,0,On Time,2023-09-08
250,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,2,3,no,delivered,5,640.17,-1,On Time,2023-09-08
250,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,10,16,no,delivered,4,1448.17,-6,On Time,2023-09-08
250,dhl,electronics,ev van,same day,east,cold,269.7,12.69,6,8,no,delivered,3,1486.57,-2,On Time,2023-09-08
250,dhl,clothing,van,two day,north,foggy,256.7,37.02,9,16,no,delivered,4,1394.56,-7,On Time,2023-09-08
250,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,4,2,yes,delayed,3,391.45,2,Delayed,2023-09-08
250,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,6,8,no,delivered,3,1222.87,-2,On Time,2023-09-08
250,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,4,8,no,delivered,3,800.89,-4,On Time,2023-09-08
250,blue dart,clothing,van,same day,south,hot,142.4,14.06,5,8,no,delivered,5,854.18,-3,On Time,2023-09-08
250,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,3,8,no,delivered,5,423.34,-5,On Time,2023-09-08
250,fedex,groceries,scooter,same day,east,cold,293.2,22.05,5,8,no,delivered,4,1632.15,-3,On Time,2023-09-08
250,ecom express,electronics,truck,two day,east,cold,80.4,46.48,3,16,no,delivered,5,541.44,-13,On Time,2023-09-08
250,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,8,16,no,delivered,4,1350.18,-8,On Time,2023-09-08
250,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,6,2,yes,failed,1,155.08,4,Delayed,2023-09-08
250,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,12,16,no,delivered,3,1263.27,-4,On Time,2023-09-08
250,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,8,6,yes,delayed,3,1281.51,2,Delayed,2023-09-08
250,fedex,documents,bike,standard,west,stormy,79.0,0.73,10,24,no,delivered,5,397.19,-14,On Time,2023-09-08
250,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,11,24,no,delivered,5,990.36,-13,On Time,2023-09-08
250,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,4,8,no,delivered,3,651.1,-4,On Time,2023-09-08
250,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,7,3,yes,failed,2,388.09,4,Delayed,2023-09-08
250,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,6,16,no,delivered,4,986.8,-10,On Time,2023-09-08
250,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,9,16,no,delivered,4,1131.74,-7,On Time,2023-09-08
250,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,6,8,no,delivered,5,1293.05,-2,On Time,2023-09-08
250,ecom express,clothing,bike,standard,central,clear,251.7,34.9,8,24,no,delivered,4,1363.2,-16,On Time,2023-09-08
250,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,7,24,no,delivered,5,1091.51,-17,On Time,2023-09-08
250,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,6,16,no,delivered,4,578.59,-10,On Time,2023-09-08
250,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,9,7,yes,delayed,3,1632.7206,2,Delayed,2023-09-08
250,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,8,24,no,delivered,3,1574.01,-16,On Time,2023-09-08
250,fedex,furniture,truck,express,south,hot,136.1,48.1,3,4,no,delivered,5,874.8,-1,On Time,2023-09-08
250,dhl,furniture,bike,two day,east,rainy,291.4,6.12,13,16,no,delivered,5,1475.36,-3,On Time,2023-09-08
250,fedex,furniture,bike,standard,south,hot,295.0,19.68,9,24,no,delivered,5,1534.04,-15,On Time,2023-09-08
250,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,10,8,yes,failed,1,1235.37,2,Delayed,2023-09-08
250,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,10,6,yes,failed,1,1402.69,4,Delayed,2023-09-08
250,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,8,16,no,delivered,5,243.66,-8,On Time,2023-09-08
250,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,5,3,yes,delayed,2,595.53,2,Delayed,2023-09-08
250,delhivery,documents,bike,same day,east,clear,37.6,22.81,3,8,no,delivered,4,356.43,-5,On Time,2023-09-08
250,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,5,2,yes,delayed,2,298.16,3,Delayed,2023-09-08
250,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,5,8,no,delivered,5,1321.0,-3,On Time,2023-09-08
250,ekart,documents,bike,standard,east,rainy,62.2,48.58,7,24,no,delivered,3,456.74,-17,On Time,2023-09-08
250,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,6,24,no,delivered,4,701.55,-18,On Time,2023-09-08
250,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,6,8,no,delivered,5,834.87,-2,On Time,2023-09-08
250,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,3,2,yes,delayed,3,206.74,1,Delayed,2023-09-08
250,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,7,24,no,delivered,5,1317.61,-17,On Time,2023-09-08
250,dhl,furniture,van,two day,east,rainy,253.9,7.07,9,16,no,delivered,3,1290.71,-7,On Time,2023-09-08
250,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,6,8,no,delivered,4,157.38,-2,On Time,2023-09-08
250,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,5,24,no,delivered,4,970.6,-19,On Time,2023-09-08
250,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,4,24,no,delivered,3,1005.12,-20,On Time,2023-09-08
250,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,11,16,no,delivered,4,984.38,-5,On Time,2023-09-08
250,xpressbees,documents,ev van,express,west,hot,78.3,49.22,4,3,yes,failed,1,589.16,1,Delayed,2023-09-08
250,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,2,3,no,delivered,4,378.35,-1,On Time,2023-09-08
